
                            < M A T L A B (R) >
                  Copyright 1984-2020 The MathWorks, Inc.
              R2020a Update 2 (9.8.0.1380330) 64-bit (glnxa64)
                                May 5, 2020

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Warning: Column headers from the file were modified to make them valid MATLAB
identifiers before creating variable names for the table. The original column
headers are saved in the VariableDescriptions property.
Set 'PreserveVariableNames' to true to use the original column headers as table
variable names.] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      87 |        1550 |       00:25:07 |      100.00% |              |   1.1333e-05 |              |      1.0000e-04 |
|      87 |        1560 |       00:25:17 |      100.00% |       88.24% |   1.5358e-05 |       0.3967 |      1.0000e-04 |
|      89 |        1590 |       00:25:47 |      100.00% |       88.24% |   9.4614e-06 |       0.3986 |      1.0000e-04 |
|      89 |        1600 |       00:25:56 |      100.00% |              |   4.3909e-06 |              |      1.0000e-04 |
|      90 |        1620 |       00:26:16 |      100.00% |       88.24% |   1.0212e-05 |       0.4006 |      1.0000e-04 |
|      92 |        1650 |       00:26:46 |      100.00% |       88.24% |   1.4321e-05 |       0.4025 |      1.0000e-04 |
|      94 |        1680 |       00:27:16 |      100.00% |       86.76% |   8.7818e-06 |       0.4042 |      1.0000e-04 |
|      95 |        1700 |       00:27:35 |      100.00% |              |   2.1792e-05 |              |      1.0000e-04 |
|      95 |        1710 |       00:27:45 |      100.00% |       86.76% |   9.5567e-06 |       0.4062 |      1.0000e-04 |
|      97 |        1740 |       00:28:15 |      100.00% |       86.76% |   1.3411e-05 |       0.4080 |      1.0000e-04 |
|      98 |        1750 |       00:28:24 |      100.00% |              |   1.2613e-05 |              |      1.0000e-04 |
|      99 |        1770 |       00:28:44 |      100.00% |       86.76% |   8.2136e-06 |       0.4098 |      1.0000e-04 |
|     100 |        1800 |       00:29:14 |      100.00% |       86.76% |   8.9884e-06 |       0.4118 |      1.0000e-04 |
|     102 |        1830 |       00:29:43 |      100.00% |       86.76% |   1.2605e-05 |       0.4136 |      1.0000e-04 |
|     103 |        1850 |       00:30:02 |      100.00% |              |   5.6704e-06 |              |      1.0000e-04 |
|     104 |        1860 |       00:30:12 |      100.00% |       86.76% |   7.6930e-06 |       0.4155 |      1.0000e-04 |
|     105 |        1890 |       00:30:41 |      100.00% |       86.76% |   8.4878e-06 |       0.4177 |      1.0000e-04 |
|     106 |        1900 |       00:30:51 |      100.00% |              |   9.4415e-06 |              |      1.0000e-04 |
|     107 |        1920 |       00:31:11 |      100.00% |       86.76% |   1.1909e-05 |       0.4196 |      1.0000e-04 |
|     109 |        1950 |       00:31:40 |      100.00% |       86.76% |   7.2400e-06 |       0.4216 |      1.0000e-04 |
|     110 |        1980 |       00:32:09 |      100.00% |       86.76% |   8.0387e-06 |       0.4238 |      1.0000e-04 |
|     112 |        2000 |       00:32:29 |      100.00% |              |   8.1023e-06 |              |      1.0000e-04 |
|     112 |        2010 |       00:32:39 |      100.00% |       86.76% |   1.1242e-05 |       0.4258 |      1.0000e-04 |
|     114 |        2040 |       00:33:08 |      100.00% |       86.76% |   6.8308e-06 |       0.4279 |      1.0000e-04 |
|     114 |        2050 |       00:33:18 |      100.00% |              |   3.1074e-06 |              |      1.0000e-04 |
|     115 |        2070 |       00:33:37 |      100.00% |       86.76% |   7.6453e-06 |       0.4303 |      1.0000e-04 |
|     117 |        2100 |       00:34:07 |      100.00% |       86.76% |   1.0681e-05 |       0.4325 |      1.0000e-04 |
|     119 |        2130 |       00:34:36 |      100.00% |       86.76% |   6.4572e-06 |       0.4348 |      1.0000e-04 |
|     120 |        2150 |       00:34:55 |      100.00% |              |   1.6594e-05 |              |      1.0000e-04 |
|     120 |        2160 |       00:35:05 |      100.00% |       86.76% |   7.2678e-06 |       0.4373 |      1.0000e-04 |
|     122 |        2190 |       00:35:34 |      100.00% |       86.76% |   1.0165e-05 |       0.4399 |      1.0000e-04 |
|     123 |        2200 |       00:35:44 |      100.00% |              |   9.7912e-06 |              |      1.0000e-04 |
|     124 |        2220 |       00:36:03 |      100.00% |       86.76% |   6.1354e-06 |       0.4423 |      1.0000e-04 |
|     125 |        2250 |       00:36:33 |      100.00% |       86.76% |   6.9619e-06 |       0.4450 |      1.0000e-04 |
|     127 |        2280 |       00:37:02 |      100.00% |       86.76% |   9.6838e-06 |       0.4475 |      1.0000e-04 |
|     128 |        2300 |       00:37:21 |      100.00% |              |   4.2320e-06 |              |      1.0000e-04 |
|     129 |        2310 |       00:37:32 |      100.00% |       86.76% |   5.8016e-06 |       0.4501 |      1.0000e-04 |
|     130 |        2340 |       00:38:01 |      100.00% |       86.76% |   6.6638e-06 |       0.4529 |      1.0000e-04 |
|     131 |        2350 |       00:38:10 |      100.00% |              |   7.3871e-06 |              |      1.0000e-04 |
|     132 |        2370 |       00:38:30 |      100.00% |       86.76% |   9.2507e-06 |       0.4555 |      1.0000e-04 |
|     134 |        2400 |       00:38:59 |      100.00% |       86.76% |   5.5075e-06 |       0.4579 |      1.0000e-04 |
|     135 |        2430 |       00:39:28 |      100.00% |       86.76% |   6.3698e-06 |       0.4605 |      1.0000e-04 |
|     137 |        2450 |       00:39:46 |      100.00% |              |   6.2267e-06 |              |      1.0000e-04 |
|     137 |        2460 |       00:39:57 |      100.00% |       86.76% |   8.8295e-06 |       0.4628 |      1.0000e-04 |
|     139 |        2490 |       00:40:25 |      100.00% |       86.76% |   5.2532e-06 |       0.4650 |      1.0000e-04 |
|     139 |        2500 |       00:40:35 |      100.00% |              |   2.3405e-06 |              |      1.0000e-04 |
|     140 |        2520 |       00:40:54 |      100.00% |       86.76% |   6.1194e-06 |       0.4675 |      1.0000e-04 |
|     142 |        2550 |       00:41:24 |      100.00% |       86.76% |   8.4401e-06 |       0.4697 |      1.0000e-04 |
|     144 |        2580 |       00:41:53 |      100.00% |       86.76% |   5.0148e-06 |       0.4720 |      1.0000e-04 |
|     145 |        2600 |       00:42:11 |      100.00% |              |   1.3316e-05 |              |      1.0000e-04 |
|     145 |        2610 |       00:42:22 |      100.00% |       86.76% |   5.8612e-06 |       0.4746 |      1.0000e-04 |
|     147 |        2640 |       00:42:51 |      100.00% |       86.76% |   8.0944e-06 |       0.4769 |      1.0000e-04 |
|     148 |        2650 |       00:43:01 |      100.00% |              |   7.9791e-06 |              |      1.0000e-04 |
|     149 |        2670 |       00:43:20 |      100.00% |       86.76% |   4.8002e-06 |       0.4793 |      1.0000e-04 |
|     150 |        2700 |       00:43:49 |      100.00% |       86.76% |   5.6466e-06 |       0.4819 |      1.0000e-04 |
