
                            < M A T L A B (R) >
                  Copyright 1984-2020 The MathWorks, Inc.
              R2020a Update 2 (9.8.0.1380330) 64-bit (glnxa64)
                                May 5, 2020

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Warning: Column headers from the file were modified to make them valid MATLAB
identifiers before creating variable names for the table. The original column
headers are saved in the VariableDescriptions property.
Set 'PreserveVariableNames' to true to use the original column headers as table
variable names.] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      43 |        2400 |       02:24:03 |      100.00% |       94.12% |   1.5986e-05 |       0.1600 |      1.0000e-04 |
|      44 |        2430 |       02:25:50 |      100.00% |       94.12% |   4.1604e-06 |       0.1628 |      1.0000e-04 |
|      44 |        2450 |       02:27:00 |      100.00% |              |   2.7180e-06 |              |      1.0000e-04 |
|      44 |        2460 |       02:27:38 |      100.00% |       94.12% |   1.7762e-06 |       0.1514 |      1.0000e-04 |
|      45 |        2490 |       02:29:25 |      100.00% |       94.12% |   3.9101e-06 |       0.1516 |      1.0000e-04 |
|      45 |        2500 |       02:30:00 |      100.00% |              |   3.3140e-06 |              |      1.0000e-04 |
|      45 |        2520 |       02:31:13 |      100.00% |       94.12% |   6.6260e-05 |       0.1427 |      1.0000e-04 |
|      46 |        2550 |       02:33:01 |      100.00% |       94.12% |   5.1022e-06 |       0.1599 |      1.0000e-04 |
|      47 |        2580 |       02:34:50 |      100.00% |       94.12% |   2.4915e-06 |       0.1393 |      1.0000e-04 |
|      47 |        2600 |       02:36:02 |      100.00% |              |   9.5369e-06 |              |      1.0000e-04 |
|      47 |        2610 |       02:36:40 |      100.00% |       94.12% |   1.6248e-05 |       0.1521 |      1.0000e-04 |
|      48 |        2640 |       02:38:29 |      100.00% |       94.12% |   1.5664e-05 |       0.1468 |      1.0000e-04 |
|      48 |        2650 |       02:39:03 |      100.00% |              |   1.2755e-06 |              |      1.0000e-04 |
